point_id,v,t,lm,w,obc_nx,obc_ny,eigvals_count,min_abs_energy,obc_gap,count_absE_le_0p01,count_absE_le_0p02,count_absE_le_0p05,special_score,special_rank,is_special,highlight_window_used
v_0p00_t_0p50_lm_0p00,0.0,0.5,0.0,2.0,20,20,3200,0.0181413842043972,0.036282768408795144,0,16,16,62.0634555279103,,0,
v_0p00_t_0p50_lm_0p10,0.0,0.5,0.1,2.0,20,20,3200,0.01491750676177507,0.029835013523550495,0,8,16,43.373843694185815,,0,
v_0p00_t_0p50_lm_0p20,0.0,0.5,0.2,2.0,20,20,3200,0.011494827908533786,0.02298965581706769,0,4,16,35.56944935785463,,0,
v_0p00_t_0p50_lm_0p30,0.0,0.5,0.3,2.0,20,20,3200,0.011236719956207671,0.022473439912415665,0,8,16,45.78925834168496,,0,
v_0p00_t_0p50_lm_0p40,0.0,0.5,0.4,2.0,20,20,3200,0.008952230677914489,0.01790446135582971,4,4,16,38.28732176152059,,0,
v_0p00_t_0p50_lm_0p50,0.0,0.5,0.5,2.0,20,20,3200,0.018449427414241076,0.03689885482849145,0,8,16,41.962216745898864,,0,
v_0p10_t_0p50_lm_0p00,0.1,0.5,0.0,1.9,20,20,3200,0.0056000095586178165,0.03739388503035707,8,8,24,59.88997093421983,,0,
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,1.9,20,20,3200,0.002536360836939004,0.030190800892846772,6,8,22,75.52736368277667,,0,
v_0p10_t_0p50_lm_0p20,0.1,0.5,0.2,1.9,20,20,3200,0.0002201989777067945,0.02284267467674869,4,6,18,398.76950741359013,6,1,0.02
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,1.9,20,20,3200,0.002519115869187641,0.021434108527088047,2,6,16,65.55517662469661,,0,
v_0p10_t_0p50_lm_0p40,0.1,0.5,0.4,1.9,20,20,3200,0.0036256494740306944,0.01665020992810094,2,4,14,49.66794019593287,,0,
v_0p10_t_0p50_lm_0p50,0.1,0.5,0.5,1.9,20,20,3200,0.017247017476547933,0.03449403495309865,0,4,12,28.37788239808067,,0,
v_0p20_t_0p50_lm_0p00,0.2,0.5,0.0,1.8,20,20,3200,0.009570756947364213,0.0398073207256639,8,8,24,53.86596481314465,,0,
v_0p20_t_0p50_lm_0p10,0.2,0.5,0.1,1.8,20,20,3200,0.0029607507962762874,0.03220341611628333,4,8,22,70.88241143753046,,0,
v_0p20_t_0p50_lm_0p20,0.2,0.5,0.2,1.8,20,20,3200,0.001999503608288819,0.011002750499433132,6,8,18,83.46106175573787,,0,
v_0p20_t_0p50_lm_0p30,0.2,0.5,0.3,1.8,20,20,3200,0.0015880078793575197,0.010536075902374521,4,6,18,89.06907735813711,,0,
v_0p20_t_0p50_lm_0p40,0.2,0.5,0.4,1.8,20,20,3200,0.0033069686525203884,0.018400734435265288,2,6,14,56.45132926832412,,0,
v_0p20_t_0p50_lm_0p50,0.2,0.5,0.5,1.8,20,20,3200,0.015978526657233916,0.03195705331447421,0,4,12,28.88420201781797,,0,
v_0p30_t_0p50_lm_0p00,0.3,0.5,0.0,1.7,20,20,3200,0.013104402024169955,0.040683169650133605,0,8,16,43.57957994274958,,0,
v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,1.7,20,20,3200,0.012261831455696827,0.0317482555595417,0,6,16,39.414119303439676,,0,
v_0p30_t_0p50_lm_0p20,0.3,0.5,0.2,1.7,20,20,3200,0.005105454702497172,0.022492472216322272,2,8,16,54.33675556370138,,0,
v_0p30_t_0p50_lm_0p30,0.3,0.5,0.3,1.7,20,20,3200,0.0009391220867129742,0.008682317443353588,4,6,16,123.08739034212766,15,1,0.02
v_0p30_t_0p50_lm_0p40,0.3,0.5,0.4,1.7,20,20,3200,0.009292068242841017,0.02069262741793601,2,4,12,33.50897016179593,,0,
v_0p30_t_0p50_lm_0p50,0.3,0.5,0.5,1.7,20,20,3200,0.014671602902440736,0.02934320580488966,0,4,12,29.4974325045569,,0,
v_0p40_t_0p50_lm_0p00,0.4,0.5,0.0,1.6,20,20,3200,0.008123787261878453,0.04465583716951543,8,8,24,55.191108818388365,,0,
v_0p40_t_0p50_lm_0p10,0.4,0.5,0.1,1.6,20,20,3200,0.0007130851737770867,0.006711771294204821,8,8,20,161.112215808525,10,1,0.02
v_0p40_t_0p50_lm_0p20,0.4,0.5,0.2,1.6,20,20,3200,0.0014841287604462415,0.011315866618782726,4,6,16,90.20228961230869,,0,
v_0p40_t_0p50_lm_0p30,0.4,0.5,0.3,1.6,20,20,3200,0.00016812516855208918,0.017283879445887433,2,4,14,503.0245203858899,5,1,0.02
v_0p40_t_0p50_lm_0p40,0.4,0.5,0.4,1.6,20,20,3200,0.0035142716856303782,0.021608829724584472,4,6,14,54.54030064810512,,0,
v_0p40_t_0p50_lm_0p50,0.4,0.5,0.5,1.6,20,20,3200,0.013390143749738096,0.026780287499477133,0,4,12,30.214944707367856,,0,
v_0p50_t_0p50_lm_0p00,0.5,0.5,0.0,1.5,20,20,3200,0.010610889283580787,0.044226230959555045,0,8,18,46.896011446954965,,0,
v_0p50_t_0p50_lm_0p10,0.5,0.5,0.1,1.5,20,20,3200,0.012717854735775313,0.032716151648660374,0,6,18,41.12427053002477,,0,
v_0p50_t_0p50_lm_0p20,0.5,0.5,0.2,1.5,20,20,3200,0.006229592650682212,0.012782494293757232,4,6,16,48.535607862861674,,0,
v_0p50_t_0p50_lm_0p30,0.5,0.5,0.3,1.5,20,20,3200,0.0017937317595412732,0.012994471056820282,2,6,14,78.21458323804247,,0,
v_0p50_t_0p50_lm_0p40,0.5,0.5,0.4,1.5,20,20,3200,0.0021927723565829307,0.020809869019333634,2,4,14,63.36506509398717,,0,
v_0p50_t_0p50_lm_0p50,0.5,0.5,0.5,1.5,20,20,3200,0.012297021555791831,0.024594043111584564,0,4,8,26.945192700681325,,0,
v_0p60_t_0p50_lm_0p00,0.6,0.5,0.0,1.4,20,20,3200,0.021577317036371627,0.04889947713145951,0,0,22,26.934584482384228,,0,
v_0p60_t_0p50_lm_0p10,0.6,0.5,0.1,1.4,20,20,3200,0.0036640670144366012,0.02514815325138141,4,8,20,64.21891751849039,,0,
v_0p60_t_0p50_lm_0p20,0.6,0.5,0.2,1.4,20,20,3200,0.0009255738628878181,0.012650935256214281,2,6,20,126.1662217801202,14,1,0.02
v_0p60_t_0p50_lm_0p30,0.6,0.5,0.3,1.4,20,20,3200,0.0011574278907789753,0.017257100558579788,4,10,16,113.58961508743396,18,1,0.02
v_0p60_t_0p50_lm_0p40,0.6,0.5,0.4,1.4,20,20,3200,0.007893000759608138,0.019552309404610828,2,4,10,33.20410928644228,,0,
v_0p60_t_0p50_lm_0p50,0.6,0.5,0.5,1.4,20,20,3200,0.011376698040972709,0.022753396081952988,0,4,8,27.66881291657836,,0,
v_0p70_t_0p50_lm_0p00,0.7,0.5,0.0,1.3,20,20,3200,0.007004511924018083,0.033236563878259504,4,12,22,65.22628204781424,,0,
v_0p70_t_0p50_lm_0p10,0.7,0.5,0.1,1.3,20,20,3200,0.0053766492985611565,0.011283853294956275,10,10,22,67.19616397616998,,0,
v_0p70_t_0p50_lm_0p20,0.7,0.5,0.2,1.3,20,20,3200,0.00780397902458413,0.017200646544142547,4,8,20,53.7392701421698,,0,
v_0p70_t_0p50_lm_0p30,0.7,0.5,0.3,1.3,20,20,3200,0.0026935822555086207,0.016162744293471774,2,6,14,62.41134067250774,,0,
v_0p70_t_0p50_lm_0p40,0.7,0.5,0.4,1.3,20,20,3200,0.0044575957068459515,0.017982526017827384,2,4,12,43.283045769372166,,0,
v_0p70_t_0p50_lm_0p50,0.7,0.5,0.5,1.3,20,20,3200,0.010473164524153202,0.020946329048313353,0,4,8,28.50294709627675,,0,
v_0p80_t_0p50_lm_0p00,0.8,0.5,0.0,1.2,20,20,3200,0.00239062553069642,0.020538125612032963,2,14,22,93.38402698723456,,0,
v_0p80_t_0p50_lm_0p10,0.8,0.5,0.1,1.2,20,20,3200,0.0071969815353405235,0.014394421286008544,6,6,20,50.283869286999824,,0,
v_0p80_t_0p50_lm_0p20,0.8,0.5,0.2,1.2,20,20,3200,0.0011666531165534261,0.015636022847224117,2,6,16,103.4036162053046,,0,
v_0p80_t_0p50_lm_0p30,0.8,0.5,0.3,1.2,20,20,3200,0.0038213774765994833,0.014980434753148295,2,6,12,51.93950900716909,,0,
v_0p80_t_0p50_lm_0p40,0.8,0.5,0.4,1.2,20,20,3200,0.0026822680450848684,0.016592273631418745,2,6,12,60.44051261506986,,0,
v_0p80_t_0p50_lm_0p50,0.8,0.5,0.5,1.2,20,20,3200,0.00957703673159942,0.01915407346319977,4,4,12,33.48570389111043,,0,
v_0p90_t_0p50_lm_0p00,0.9,0.5,0.0,1.1,20,20,3200,0.002032653098504241,0.01564342773733276,8,12,20,93.19094484943392,,0,
v_0p90_t_0p50_lm_0p10,0.9,0.5,0.1,1.1,20,20,3200,0.00534558095344609,0.017519142292122862,2,6,16,49.39015818432337,,0,
v_0p90_t_0p50_lm_0p20,0.9,0.5,0.2,1.1,20,20,3200,2.20819225034456e-05,0.013822884481229964,2,6,14,3639.8810120428107,1,1,0.02
v_0p90_t_0p50_lm_0p30,0.9,0.5,0.3,1.1,20,20,3200,0.0018786838863005552,0.01361537533138731,2,6,14,75.98748594669263,,0,
v_0p90_t_0p50_lm_0p40,0.9,0.5,0.4,1.1,20,20,3200,0.0051881020827558594,0.01497944537360182,4,4,12,41.42506185427901,,0,
v_0p90_t_0p50_lm_0p50,0.9,0.5,0.5,1.1,20,20,3200,0.00868733277585353,0.017374665551708742,4,4,12,34.661988357474236,,0,
v_1p00_t_0p50_lm_0p00,1.0,0.5,0.0,1.0,20,20,3200,0.00896889843201943,0.022389780194833772,4,6,84,110.59939564875452,20,1,0.05381339059211658
v_1p00_t_0p50_lm_0p10,1.0,0.5,0.1,1.0,20,20,3200,0.0015248777335072467,0.013798352432489598,2,6,14,85.80809607566157,,0,
v_1p00_t_0p50_lm_0p20,1.0,0.5,0.2,1.0,20,20,3200,0.004204101202076082,0.012461069857516084,4,6,16,54.84354225450667,,0,
v_1p00_t_0p50_lm_0p30,1.0,0.5,0.3,1.0,20,20,3200,0.0036808004934307725,0.012355009743042291,4,6,16,57.590102518443324,,0,
v_1p00_t_0p50_lm_0p40,1.0,0.5,0.4,1.0,20,20,3200,0.0035861834131895418,0.013495426272004426,4,6,14,55.75313411761296,,0,
v_1p00_t_0p50_lm_0p50,1.0,0.5,0.5,1.0,20,20,3200,0.007800411982372028,0.015600823964744815,4,4,12,36.101663140174026,,0,
v_1p10_t_0p50_lm_0p00,1.1,0.5,0.0,0.8999999999999999,20,20,3200,0.0012973907073126638,0.015451360047679785,4,12,54,149.54060253008316,11,1,0.02
v_1p10_t_0p50_lm_0p10,1.1,0.5,0.1,0.8999999999999999,20,20,3200,0.0027854063154910784,0.009658110618162522,10,20,100,184.93242371743688,9,1,0.02
v_1p10_t_0p50_lm_0p20,1.1,0.5,0.2,0.8999999999999999,20,20,3200,6.0796025384889346e-05,0.0005401514737851261,26,42,72,1601.7740305364464,2,1,0.02
v_1p10_t_0p50_lm_0p30,1.1,0.5,0.3,0.8999999999999999,20,20,3200,0.00361122865568542,0.009011120615334992,4,8,24,72.81087706675864,,0,
v_1p10_t_0p50_lm_0p40,1.1,0.5,0.4,0.8999999999999999,20,20,3200,0.0008191098663037545,0.011812573817596568,2,6,18,135.73436419814848,13,1,0.02
v_1p10_t_0p50_lm_0p50,1.1,0.5,0.5,0.8999999999999999,20,20,3200,0.006994229841709321,0.01398845968341876,4,4,16,41.72705562225552,,0,
v_1p20_t_0p50_lm_0p00,1.2,0.5,0.0,0.8,20,20,3200,0.002090636716034046,0.004687208216409654,22,46,74,240.06454777587695,8,1,0.02
v_1p20_t_0p50_lm_0p10,1.2,0.5,0.1,0.8,20,20,3200,0.0019279302626961676,0.005982193077310935,16,50,78,254.52272352882014,7,1,0.02
v_1p20_t_0p50_lm_0p20,1.2,0.5,0.2,0.8,20,20,3200,0.00038685246948217794,0.00204007342886897,32,56,160,536.1530025821315,4,1,0.02
v_1p20_t_0p50_lm_0p30,1.2,0.5,0.3,0.8,20,20,3200,0.002806568560985787,0.006157321548527571,8,18,64,147.24788223069194,12,1,0.02
v_1p20_t_0p50_lm_0p40,1.2,0.5,0.4,0.8,20,20,3200,0.001627631322203003,0.012010822609645325,6,10,24,103.14361338271385,,0,
v_1p20_t_0p50_lm_0p50,1.2,0.5,0.5,0.8,20,20,3200,0.014218217963957832,0.02843643592791684,0,8,16,43.736506229282625,,0,
v_1p30_t_0p50_lm_0p00,1.3,0.5,0.0,0.7,20,20,3200,0.00013532055488271548,0.015302276554757155,8,20,54,698.6732280944523,3,1,0.02
v_1p30_t_0p50_lm_0p10,1.3,0.5,0.1,0.7,20,20,3200,0.0056997654853307225,0.012679379939205884,8,18,58,121.76747422253446,16,1,0.034198592911984335
v_1p30_t_0p50_lm_0p20,1.3,0.5,0.2,0.7,20,20,3200,0.0058632097872437896,0.011975366109973563,12,18,54,117.65441416422401,17,1,0.03517925872346274
v_1p30_t_0p50_lm_0p30,1.3,0.5,0.3,0.7,20,20,3200,0.0031571647328235575,0.008994027440951926,10,14,44,111.00940792474944,19,1,0.02
v_1p30_t_0p50_lm_0p40,1.3,0.5,0.4,0.7,20,20,3200,0.012790440303870906,0.031098801316587918,0,4,8,26.18395101679267,,0,
v_1p30_t_0p50_lm_0p50,1.3,0.5,0.5,0.7,20,20,3200,0.016095365444402352,0.032190730888807764,0,4,8,24.834228781653042,,0,
v_1p40_t_0p50_lm_0p00,1.4,0.5,0.0,0.6000000000000001,20,20,3200,0.005992562449850663,0.014213290500888508,6,14,30,82.57103035427595,,0,
v_1p40_t_0p50_lm_0p10,1.4,0.5,0.1,0.6000000000000001,20,20,3200,0.002336213200752525,0.014483237581269164,4,14,30,103.38467586090343,,0,
v_1p40_t_0p50_lm_0p20,1.4,0.5,0.2,0.6000000000000001,20,20,3200,0.005922156558446284,0.016190257359956897,4,12,34,81.2142740096928,,0,
v_1p40_t_0p50_lm_0p30,1.4,0.5,0.3,0.6000000000000001,20,20,3200,0.002576558793240262,0.01487488732203994,4,12,26,91.0815772145994,,0,
v_1p40_t_0p50_lm_0p40,1.4,0.5,0.4,0.6000000000000001,20,20,3200,0.0018422029034959521,0.017684416022606213,2,6,14,75.81671098859255,,0,
v_1p40_t_0p50_lm_0p50,1.4,0.5,0.5,0.6000000000000001,20,20,3200,0.013567775530957856,0.02713555106191711,0,4,8,26.107393843986692,,0,
v_1p50_t_0p50_lm_0p00,1.5,0.5,0.0,0.5,20,20,3200,0.010095075859156496,1.0172952513393592,0,2,12,24.983557077606974,,0,
v_1p50_t_0p50_lm_0p10,1.5,0.5,0.1,0.5,20,20,3200,0.010258965459797494,0.8195243401932953,0,2,12,24.871194432215095,,0,
v_1p50_t_0p50_lm_0p20,1.5,0.5,0.2,0.5,20,20,3200,0.010829729678156019,0.6209933041012331,0,2,12,24.483623831388154,,0,
v_1p50_t_0p50_lm_0p30,1.5,0.5,0.3,0.5,20,20,3200,0.0121614199072057,0.42392871536706433,0,2,8,19.719658348703124,,0,
v_1p50_t_0p50_lm_0p40,1.5,0.5,0.4,0.5,20,20,3200,0.015697194746108825,0.23123399518880722,0,2,6,16.355896866749077,,0,
v_1p50_t_0p50_lm_0p50,1.5,0.5,0.5,0.5,20,20,3200,0.03228598281324467,0.06457196562649042,0,0,4,7.407042195115506,,0,
v_1p60_t_0p50_lm_0p00,1.6,0.5,0.0,0.3999999999999999,20,20,3200,0.20662701796995206,1.4120167447936944,0,0,0,0.42966327593867,,0,
v_1p60_t_0p50_lm_0p10,1.6,0.5,0.1,0.3999999999999999,20,20,3200,0.2066687847713679,1.21288624242541,0,0,0,0.43656139332180766,,0,
v_1p60_t_0p50_lm_0p20,1.6,0.5,0.2,0.3999999999999999,20,20,3200,0.20680433410646668,1.0132910916854687,0,0,0,0.44605188975894305,,0,
v_1p60_t_0p50_lm_0p30,1.6,0.5,0.3,0.3999999999999999,20,20,3200,0.2070713792992377,0.8139420178070188,0,0,0,0.46005533812144034,,0,
v_1p60_t_0p50_lm_0p40,1.6,0.5,0.4,0.3999999999999999,20,20,3200,0.20756642295006517,0.6150373938526044,0,0,0,0.4829736344559826,,0,
v_1p60_t_0p50_lm_0p50,1.6,0.5,0.5,0.3999999999999999,20,20,3200,0.20856427484751539,0.4171285496950323,0,0,0,0.5274151315268888,,0,
v_1p70_t_0p50_lm_0p00,1.7,0.5,0.0,0.30000000000000004,20,20,3200,0.4043201052881178,1.808138818119935,0,0,0,0.23104626934892372,,0,
v_1p70_t_0p50_lm_0p10,1.7,0.5,0.1,0.30000000000000004,20,20,3200,0.40433172403444995,1.6084748198704755,0,0,0,0.23515970819704698,,0,
v_1p70_t_0p50_lm_0p20,1.7,0.5,0.2,0.30000000000000004,20,20,3200,0.4043683113862062,1.4086010259501403,0,0,0,0.24043484121635508,,0,
v_1p70_t_0p50_lm_0p30,1.7,0.5,0.3,0.30000000000000004,20,20,3200,0.40443574708442775,1.2087839839892696,0,0,0,0.24744305881668235,,0,
v_1p70_t_0p50_lm_0p40,1.7,0.5,0.4,0.30000000000000004,20,20,3200,0.4045466774536092,1.009050657730196,0,0,0,0.2572139877413247,,0,
v_1p70_t_0p50_lm_0p50,1.7,0.5,0.5,0.30000000000000004,20,20,3200,0.4047275799508609,0.8094551599017242,0,0,0,0.27178769616041953,,0,
v_1p80_t_0p50_lm_0p00,1.8,0.5,0.0,0.19999999999999996,20,20,3200,0.6025921496849866,2.2050154370925554,0,0,0,0.15997044855983097,,0,
v_1p80_t_0p50_lm_0p10,1.8,0.5,0.1,0.19999999999999996,20,20,3200,0.6025950694891447,2.0051254512274133,0,0,0,0.16268242593148213,,0,
v_1p80_t_0p50_lm_0p20,1.8,0.5,0.2,0.19999999999999996,20,20,3200,0.6026041214492958,1.8051611848367806,0,0,0,0.16599514570428292,,0,
v_1p80_t_0p50_lm_0p30,1.8,0.5,0.3,0.19999999999999996,20,20,3200,0.6026202596460583,1.6052098423343715,0,0,0,0.17013185149608767,,0,
v_1p80_t_0p50_lm_0p40,1.8,0.5,0.4,0.19999999999999996,20,20,3200,0.6026453686866482,1.405275628206533,0,0,0,0.17544427935174725,,0,
v_1p80_t_0p50_lm_0p50,1.8,0.5,0.5,0.19999999999999996,20,20,3200,0.6026828803955653,1.205365760791134,0,0,0,0.18251718742194004,,0,
v_1p90_t_0p50_lm_0p00,1.9,0.5,0.0,0.10000000000000009,20,20,3200,0.8011935785495454,2.602353982847273,0,0,0,0.12290706023663918,,0,
v_1p90_t_0p50_lm_0p10,1.9,0.5,0.1,0.10000000000000009,20,20,3200,0.8011940306325207,2.402375204603553,0,0,0,0.12482623785088894,,0,
v_1p90_t_0p50_lm_0p20,1.9,0.5,0.2,0.10000000000000009,20,20,3200,0.8011954194473309,2.202381416253266,0,0,0,0.1270940193269756,,0,
v_1p90_t_0p50_lm_0p30,1.9,0.5,0.3,0.10000000000000009,20,20,3200,0.801197848737326,2.002389518639706,0,0,0,0.12981467880037265,,0,
v_1p90_t_0p50_lm_0p40,1.9,0.5,0.4,0.10000000000000009,20,20,3200,0.8012015137502816,1.8023999698576931,0,0,0,0.1331389703274458,,0,
v_1p90_t_0p50_lm_0p50,1.9,0.5,0.5,0.10000000000000009,20,20,3200,0.8012067437691849,1.6024134875383722,0,0,0,0.13729288850641055,,0,
v_2p00_t_0p50_lm_0p00,2.0,0.5,0.0,0.0,20,20,3200,0.9999999999999999,2.9999999999999987,0,0,0,0.09999999133333418,,0,
v_2p00_t_0p50_lm_0p10,2.0,0.5,0.1,0.0,20,20,3200,0.9999999999999989,2.7999999999999985,0,0,0,0.10142856266326622,,0,
v_2p00_t_0p50_lm_0p20,2.0,0.5,0.2,0.0,20,20,3200,0.9999999999999983,2.599999999999997,0,0,0,0.10307691418935011,,0,
v_2p00_t_0p50_lm_0p30,2.0,0.5,0.3,0.0,20,20,3200,0.9999999999999998,2.399999999999999,0,0,0,0.1049999909583342,,0,
v_2p00_t_0p50_lm_0p40,2.0,0.5,0.4,0.0,20,20,3200,0.9999999999999973,2.199999999999995,0,0,0,0.10727271803305898,,0,
v_2p00_t_0p50_lm_0p50,2.0,0.5,0.5,0.0,20,20,3200,0.9999999999999997,1.9999999999999996,0,0,0,0.10999999050000092,,0,
