point_id,v,t,lm,w,obc_nx,obc_ny,eigvals_count,highlight_window,highlight_count,status,detail,obc_spectrum_path
v_0p00_t_0p50_lm_0p00,0.0,0.5,0.0,2.0,20,20,3200,0.1088483052263832,48,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p10,0.0,0.5,0.1,2.0,20,20,3200,0.08950504057065042,36,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p20,0.0,0.5,0.2,2.0,20,20,3200,0.0689689674512027,28,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p30,0.0,0.5,0.3,2.0,20,20,3200,0.06742031973724602,24,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p40,0.0,0.5,0.4,2.0,20,20,3200,0.053713384067486936,16,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p00_t_0p50_lm_0p50,0.0,0.5,0.5,2.0,20,20,3200,0.11069656448544646,24,ok,,outputs/first_stage_band_ribbon/points/v_0p00_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p00,0.1,0.5,0.0,1.9,20,20,3200,0.0336000573517069,16,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,1.9,20,20,3200,0.02,8,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p20,0.1,0.5,0.2,1.9,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,1.9,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p40,0.1,0.5,0.4,1.9,20,20,3200,0.021753896844184165,6,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p10_t_0p50_lm_0p50,0.1,0.5,0.5,1.9,20,20,3200,0.1034821048592876,24,ok,,outputs/first_stage_band_ribbon/points/v_0p10_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p00,0.2,0.5,0.0,1.8,20,20,3200,0.057424541684185273,24,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p10,0.2,0.5,0.1,1.8,20,20,3200,0.02,8,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p20,0.2,0.5,0.2,1.8,20,20,3200,0.02,8,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p30,0.2,0.5,0.3,1.8,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p40,0.2,0.5,0.4,1.8,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p20_t_0p50_lm_0p50,0.2,0.5,0.5,1.8,20,20,3200,0.0958711599434035,20,ok,,outputs/first_stage_band_ribbon/points/v_0p20_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p30_t_0p50_lm_0p00,0.3,0.5,0.0,1.7,20,20,3200,0.07862641214501973,32,ok,,outputs/first_stage_band_ribbon/points/v_0p30_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,1.7,20,20,3200,0.07357098873418096,32,ok,,outputs/first_stage_band_ribbon/points/v_0p30_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p30_t_0p50_lm_0p20,0.3,0.5,0.2,1.7,20,20,3200,0.030632728214983033,12,ok,,outputs/first_stage_band_ribbon/points/v_0p30_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p30_t_0p50_lm_0p30,0.3,0.5,0.3,1.7,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p30_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p30_t_0p50_lm_0p40,0.3,0.5,0.4,1.7,20,20,3200,0.0557524094570461,12,ok,,outputs/first_stage_band_ribbon/points/v_0p30_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p30_t_0p50_lm_0p50,0.3,0.5,0.5,1.7,20,20,3200,0.0880296174146444,20,ok,,outputs/first_stage_band_ribbon/points/v_0p30_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p40_t_0p50_lm_0p00,0.4,0.5,0.0,1.6,20,20,3200,0.04874272357127072,24,ok,,outputs/first_stage_band_ribbon/points/v_0p40_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p40_t_0p50_lm_0p10,0.4,0.5,0.1,1.6,20,20,3200,0.02,8,ok,,outputs/first_stage_band_ribbon/points/v_0p40_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p40_t_0p50_lm_0p20,0.4,0.5,0.2,1.6,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p40_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p40_t_0p50_lm_0p30,0.4,0.5,0.3,1.6,20,20,3200,0.02,4,ok,,outputs/first_stage_band_ribbon/points/v_0p40_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p40_t_0p50_lm_0p40,0.4,0.5,0.4,1.6,20,20,3200,0.02108563011378227,6,ok,,outputs/first_stage_band_ribbon/points/v_0p40_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p40_t_0p50_lm_0p50,0.4,0.5,0.5,1.6,20,20,3200,0.08034086249842858,16,ok,,outputs/first_stage_band_ribbon/points/v_0p40_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p50_t_0p50_lm_0p00,0.5,0.5,0.0,1.5,20,20,3200,0.06366533570148472,26,ok,,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p50_t_0p50_lm_0p10,0.5,0.5,0.1,1.5,20,20,3200,0.07630712841465187,32,ok,,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p50_t_0p50_lm_0p20,0.5,0.5,0.2,1.5,20,20,3200,0.03737755590409327,12,ok,,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p50_t_0p50_lm_0p30,0.5,0.5,0.3,1.5,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p50_t_0p50_lm_0p40,0.5,0.5,0.4,1.5,20,20,3200,0.02,4,ok,,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p50_t_0p50_lm_0p50,0.5,0.5,0.5,1.5,20,20,3200,0.07378212933475098,12,ok,,outputs/first_stage_band_ribbon/points/v_0p50_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p60_t_0p50_lm_0p00,0.6,0.5,0.0,1.4,20,20,3200,0.12946390221822976,64,ok,,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p60_t_0p50_lm_0p10,0.6,0.5,0.1,1.4,20,20,3200,0.021984402086619607,10,ok,,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p60_t_0p50_lm_0p20,0.6,0.5,0.2,1.4,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p60_t_0p50_lm_0p30,0.6,0.5,0.3,1.4,20,20,3200,0.02,10,ok,,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p60_t_0p50_lm_0p40,0.6,0.5,0.4,1.4,20,20,3200,0.047358004557648825,10,ok,,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p60_t_0p50_lm_0p50,0.6,0.5,0.5,1.4,20,20,3200,0.06826018824583625,12,ok,,outputs/first_stage_band_ribbon/points/v_0p60_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p70_t_0p50_lm_0p00,0.7,0.5,0.0,1.3,20,20,3200,0.0420270715441085,22,ok,,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p70_t_0p50_lm_0p10,0.7,0.5,0.1,1.3,20,20,3200,0.03225989579136694,10,ok,,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p70_t_0p50_lm_0p20,0.7,0.5,0.2,1.3,20,20,3200,0.04682387414750478,20,ok,,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p70_t_0p50_lm_0p30,0.7,0.5,0.3,1.3,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p70_t_0p50_lm_0p40,0.7,0.5,0.4,1.3,20,20,3200,0.02674557424107571,6,ok,,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p70_t_0p50_lm_0p50,0.7,0.5,0.5,1.3,20,20,3200,0.06283898714491921,12,ok,,outputs/first_stage_band_ribbon/points/v_0p70_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p80_t_0p50_lm_0p00,0.8,0.5,0.0,1.2,20,20,3200,0.02,14,ok,,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p80_t_0p50_lm_0p10,0.8,0.5,0.1,1.2,20,20,3200,0.04318188921204314,18,ok,,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p80_t_0p50_lm_0p20,0.8,0.5,0.2,1.2,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p80_t_0p50_lm_0p30,0.8,0.5,0.3,1.2,20,20,3200,0.0229282648595969,6,ok,,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p80_t_0p50_lm_0p40,0.8,0.5,0.4,1.2,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p80_t_0p50_lm_0p50,0.8,0.5,0.5,1.2,20,20,3200,0.05746222038959652,12,ok,,outputs/first_stage_band_ribbon/points/v_0p80_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_0p90_t_0p50_lm_0p00,0.9,0.5,0.0,1.1,20,20,3200,0.02,12,ok,,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_0p90_t_0p50_lm_0p10,0.9,0.5,0.1,1.1,20,20,3200,0.032073485720676545,10,ok,,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_0p90_t_0p50_lm_0p20,0.9,0.5,0.2,1.1,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_0p90_t_0p50_lm_0p30,0.9,0.5,0.3,1.1,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_0p90_t_0p50_lm_0p40,0.9,0.5,0.4,1.1,20,20,3200,0.031128612496535157,8,ok,,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_0p90_t_0p50_lm_0p50,0.9,0.5,0.5,1.1,20,20,3200,0.05212399665512118,12,ok,,outputs/first_stage_band_ribbon/points/v_0p90_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p00_t_0p50_lm_0p00,1.0,0.5,0.0,1.0,20,20,3200,0.05381339059211658,86,ok,,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p00_t_0p50_lm_0p10,1.0,0.5,0.1,1.0,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p00_t_0p50_lm_0p20,1.0,0.5,0.2,1.0,20,20,3200,0.02522460721245649,8,ok,,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p00_t_0p50_lm_0p30,1.0,0.5,0.3,1.0,20,20,3200,0.022084802960584633,8,ok,,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p00_t_0p50_lm_0p40,1.0,0.5,0.4,1.0,20,20,3200,0.02151710047913725,6,ok,,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p00_t_0p50_lm_0p50,1.0,0.5,0.5,1.0,20,20,3200,0.046802471894232166,12,ok,,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p10_t_0p50_lm_0p00,1.1,0.5,0.0,0.8999999999999999,20,20,3200,0.02,12,ok,,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p10_t_0p50_lm_0p10,1.1,0.5,0.1,0.8999999999999999,20,20,3200,0.02,20,ok,,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p10_t_0p50_lm_0p20,1.1,0.5,0.2,0.8999999999999999,20,20,3200,0.02,42,ok,,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p10_t_0p50_lm_0p30,1.1,0.5,0.3,0.8999999999999999,20,20,3200,0.02166737193411252,8,ok,,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p10_t_0p50_lm_0p40,1.1,0.5,0.4,0.8999999999999999,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p10_t_0p50_lm_0p50,1.1,0.5,0.5,0.8999999999999999,20,20,3200,0.04196537905025593,12,ok,,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p20_t_0p50_lm_0p00,1.2,0.5,0.0,0.8,20,20,3200,0.02,46,ok,,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p20_t_0p50_lm_0p10,1.2,0.5,0.1,0.8,20,20,3200,0.02,50,ok,,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p20_t_0p50_lm_0p20,1.2,0.5,0.2,0.8,20,20,3200,0.02,56,ok,,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p20_t_0p50_lm_0p30,1.2,0.5,0.3,0.8,20,20,3200,0.02,18,ok,,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p20_t_0p50_lm_0p40,1.2,0.5,0.4,0.8,20,20,3200,0.02,10,ok,,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p20_t_0p50_lm_0p50,1.2,0.5,0.5,0.8,20,20,3200,0.08530930778374698,28,ok,,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p30_t_0p50_lm_0p00,1.3,0.5,0.0,0.7,20,20,3200,0.02,20,ok,,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p30_t_0p50_lm_0p10,1.3,0.5,0.1,0.7,20,20,3200,0.034198592911984335,38,ok,,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p30_t_0p50_lm_0p20,1.3,0.5,0.2,0.7,20,20,3200,0.03517925872346274,34,ok,,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p30_t_0p50_lm_0p30,1.3,0.5,0.3,0.7,20,20,3200,0.02,14,ok,,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p30_t_0p50_lm_0p40,1.3,0.5,0.4,0.7,20,20,3200,0.07674264182322543,10,ok,,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p30_t_0p50_lm_0p50,1.3,0.5,0.5,0.7,20,20,3200,0.09657219266641412,12,ok,,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p40_t_0p50_lm_0p00,1.4,0.5,0.0,0.6000000000000001,20,20,3200,0.035955374699103974,26,ok,,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p40_t_0p50_lm_0p10,1.4,0.5,0.1,0.6000000000000001,20,20,3200,0.02,14,ok,,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p40_t_0p50_lm_0p20,1.4,0.5,0.2,0.6000000000000001,20,20,3200,0.0355329393506777,26,ok,,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p40_t_0p50_lm_0p30,1.4,0.5,0.3,0.6000000000000001,20,20,3200,0.02,12,ok,,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p40_t_0p50_lm_0p40,1.4,0.5,0.4,0.6000000000000001,20,20,3200,0.02,6,ok,,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p40_t_0p50_lm_0p50,1.4,0.5,0.5,0.6000000000000001,20,20,3200,0.08140665318574714,12,ok,,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p50_t_0p50_lm_0p00,1.5,0.5,0.0,0.5,20,20,3200,0.060570455154938974,12,ok,,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p50_t_0p50_lm_0p10,1.5,0.5,0.1,0.5,20,20,3200,0.06155379275878496,12,ok,,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p50_t_0p50_lm_0p20,1.5,0.5,0.2,0.5,20,20,3200,0.06497837806893611,12,ok,,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p50_t_0p50_lm_0p30,1.5,0.5,0.3,0.5,20,20,3200,0.0729685194432342,16,ok,,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p50_t_0p50_lm_0p40,1.5,0.5,0.4,0.5,20,20,3200,0.09418316847665295,16,ok,,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p50_t_0p50_lm_0p50,1.5,0.5,0.5,0.5,20,20,3200,0.19371589687946802,76,ok,,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p60_t_0p50_lm_0p00,1.6,0.5,0.0,0.3999999999999999,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p60_t_0p50_lm_0p10,1.6,0.5,0.1,0.3999999999999999,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p60_t_0p50_lm_0p20,1.6,0.5,0.2,0.3999999999999999,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p60_t_0p50_lm_0p30,1.6,0.5,0.3,0.3999999999999999,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p60_t_0p50_lm_0p40,1.6,0.5,0.4,0.3999999999999999,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p60_t_0p50_lm_0p50,1.6,0.5,0.5,0.3999999999999999,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p00,1.7,0.5,0.0,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p10,1.7,0.5,0.1,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p20,1.7,0.5,0.2,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p30,1.7,0.5,0.3,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p40,1.7,0.5,0.4,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p70_t_0p50_lm_0p50,1.7,0.5,0.5,0.30000000000000004,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p00,1.8,0.5,0.0,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p10,1.8,0.5,0.1,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p20,1.8,0.5,0.2,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p30,1.8,0.5,0.3,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p40,1.8,0.5,0.4,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p80_t_0p50_lm_0p50,1.8,0.5,0.5,0.19999999999999996,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p00,1.9,0.5,0.0,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p10,1.9,0.5,0.1,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p20,1.9,0.5,0.2,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p30,1.9,0.5,0.3,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p40,1.9,0.5,0.4,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_1p90_t_0p50_lm_0p50,1.9,0.5,0.5,0.10000000000000009,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_1p90_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p00,2.0,0.5,0.0,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p00/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p10,2.0,0.5,0.1,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p10/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p20,2.0,0.5,0.2,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p20/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p30,2.0,0.5,0.3,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p30/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p40,2.0,0.5,0.4,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p40/obc_spectrum_e_vs_index.png
v_2p00_t_0p50_lm_0p50,2.0,0.5,0.5,0.0,20,20,3200,0.2,0,ok,,outputs/first_stage_band_ribbon/points/v_2p00_t_0p50_lm_0p50/obc_spectrum_e_vs_index.png
