folder,category,v,t,lm,energy_window,peak_x,peak_y,peak_probability,center_x,center_y,boundary_weight,corner_weight,bulk_weight,recommended_region
v_0p60_t_0p90_lm_0p80,robust_topological,0.60,0.90,0.80,3.062909e-01,13,13,3.647805e-03,9.500000,9.500000,0.087717,0.001090,0.912283,bulk_or_mixed
v_0p60_t_0p80_lm_0p70,robust_topological,0.60,0.80,0.70,2.000000e-01,5,0,5.573029e-03,9.500000,9.500000,0.375751,0.009247,0.624249,bulk_or_mixed
v_1p00_t_0p90_lm_1p00,robust_topological,1.00,0.90,1.00,2.000000e-01,14,19,5.486399e-03,9.500000,9.500000,0.371802,0.009655,0.628198,bulk_or_mixed
v_0p50_t_0p80_lm_0p60,robust_topological,0.50,0.80,0.60,2.000000e-01,0,2,4.175696e-03,9.500000,9.500000,0.231598,0.009779,0.768402,bulk_or_mixed
v_0p30_t_0p60_lm_0p80,robust_topological,0.30,0.60,0.80,2.000000e-01,15,4,3.957738e-03,9.500000,9.500000,0.107848,0.001618,0.892152,bulk_or_mixed
v_0p90_t_1p00_lm_1p00,robust_topological,0.90,1.00,1.00,1.107159e+00,7,6,3.726775e-03,9.500000,9.500000,0.083658,0.000800,0.916342,bulk_or_mixed
v_0p70_t_1p00_lm_0p60,robust_topological,0.70,1.00,0.60,2.000000e-01,10,1,4.122844e-03,9.500000,9.500000,0.182421,0.010858,0.817579,bulk_or_mixed
v_0p60_t_0p70_lm_0p80,robust_topological,0.60,0.70,0.80,2.000000e-01,19,14,5.573029e-03,9.500000,9.500000,0.375751,0.009247,0.624249,bulk_or_mixed
v_0p60_t_1p00_lm_0p50,robust_topological,0.60,1.00,0.50,2.000000e-01,0,19,5.362793e-03,9.500000,9.500000,0.213202,0.021451,0.786798,bulk_or_mixed
v_0p30_t_0p50_lm_0p70,robust_topological,0.30,0.50,0.70,2.000000e-01,19,17,4.615650e-03,9.500000,9.500000,0.253913,0.010386,0.746087,bulk_or_mixed
v_0p50_t_0p90_lm_0p50,robust_topological,0.50,0.90,0.50,2.000000e-01,1,0,3.947707e-03,9.500000,9.500000,0.227678,0.013377,0.772322,bulk_or_mixed
v_0p70_t_0p80_lm_0p80,robust_topological,0.70,0.80,0.80,2.272197e-01,9,19,6.093187e-03,9.500000,9.500000,0.376543,0.007604,0.623457,bulk_or_mixed
v_0p80_t_0p90_lm_0p80,robust_topological,0.80,0.90,0.80,2.000000e-01,14,19,5.524055e-03,9.500000,9.500000,0.373512,0.009476,0.626488,bulk_or_mixed
v_0p50_t_0p90_lm_0p70,robust_topological,0.50,0.90,0.70,2.000000e-01,15,15,3.954743e-03,9.500000,9.500000,0.107023,0.001646,0.892977,bulk_or_mixed
v_0p50_t_0p60_lm_0p90,near_transition,0.50,0.60,0.90,2.000000e-01,1,18,6.101586e-03,9.500000,9.500000,0.207485,0.013161,0.792515,bulk_or_mixed
v_0p70_t_0p70_lm_1p00,near_transition,0.70,0.70,1.00,2.000000e-01,1,18,6.338804e-03,9.500000,9.500000,0.202351,0.013654,0.797649,bulk_or_mixed
v_0p50_t_0p20_lm_0p30,near_transition,0.50,0.20,0.30,2.000000e-01,0,0,1.549538e-02,9.500000,9.500000,0.855400,0.061982,0.144600,edge
v_0p50_t_0p50_lm_1p00,near_transition,0.50,0.50,1.00,2.000000e-01,18,0,4.756701e-03,9.500000,9.500000,0.240162,0.015792,0.759838,bulk_or_mixed
v_0p50_t_1p00_lm_0p50,near_transition,0.50,1.00,0.50,2.000000e-01,19,18,4.756701e-03,9.500000,9.500000,0.240162,0.015792,0.759838,bulk_or_mixed
v_0p70_t_0p10_lm_0p20,near_transition,0.70,0.10,0.20,2.000000e-01,0,19,1.203418e-02,9.500000,9.500000,0.591166,0.048137,0.408834,edge
v_0p70_t_1p00_lm_0p70,near_transition,0.70,1.00,0.70,2.000000e-01,1,18,6.338804e-03,9.500000,9.500000,0.202351,0.013654,0.797649,bulk_or_mixed
v_0p60_t_0p80_lm_0p80,near_transition,0.60,0.80,0.80,5.142886e-01,9,0,3.037333e-03,9.500000,9.500000,0.168032,0.002149,0.831968,bulk_or_mixed
v_0p50_t_0p70_lm_0p80,near_transition,0.50,0.70,0.80,2.000000e-01,1,6,2.905391e-03,9.500000,9.500000,0.182623,0.002867,0.817377,bulk_or_mixed
v_0p90_t_1p00_lm_0p90,near_transition,0.90,1.00,0.90,2.000000e-01,14,17,2.890499e-03,9.500000,9.500000,0.180649,0.003001,0.819351,bulk_or_mixed
v_0p30_t_0p30_lm_0p40,near_transition,0.30,0.30,0.40,2.000000e-01,19,0,1.319227e-02,9.500000,9.500000,0.971069,0.052769,0.028931,edge
v_0p40_t_0p60_lm_0p80,near_transition,0.40,0.60,0.80,2.000000e-01,9,10,4.166926e-03,9.500000,9.500000,0.172049,0.004376,0.827951,bulk_or_mixed
v_0p50_t_0p80_lm_0p70,near_transition,0.50,0.80,0.70,2.000000e-01,6,1,2.905391e-03,9.500000,9.500000,0.182623,0.002867,0.817377,bulk_or_mixed
v_0p20_t_0p60_lm_0p60,near_transition,0.20,0.60,0.60,5.138350e-01,19,9,3.079746e-03,9.500000,9.500000,0.169235,0.001974,0.830765,bulk_or_mixed
v_0p30_t_0p10_lm_0p50,near_transition,0.30,0.10,0.50,2.000000e-01,19,0,1.451309e-02,9.500000,9.500000,0.740088,0.058052,0.259912,edge
v_0p40_t_0p20_lm_0p40,near_transition,0.40,0.20,0.40,2.000000e-01,0,19,9.574955e-03,9.500000,9.500000,0.652473,0.038300,0.347527,edge
v_0p40_t_0p40_lm_0p20,near_transition,0.40,0.40,0.20,2.000000e-01,0,19,9.574955e-03,9.500000,9.500000,0.652473,0.038300,0.347527,edge
v_0p50_t_0p40_lm_0p10,near_transition,0.50,0.40,0.10,2.000000e-01,0,19,9.971160e-03,9.500000,9.500000,0.584663,0.039885,0.415337,edge
v_0p60_t_0p10_lm_0p30,near_transition,0.60,0.10,0.30,2.000000e-01,0,19,1.139172e-02,9.500000,9.500000,0.627143,0.045567,0.372857,edge
v_0p60_t_0p20_lm_0p20,near_transition,0.60,0.20,0.20,2.000000e-01,19,0,1.479440e-02,9.500000,9.500000,0.761753,0.059178,0.238247,edge
