point_id,v,t,lm,requested_window_low,requested_window_high,used_window_low,used_window_high,selected_state_count,min_selected_energy,max_selected_energy
v_0p30_t_0p60_lm_0p70,0.3,0.6,0.7,-1.5870253938941257,1.7839153417328886,-0.527987520440628,0.5247106224164834,160,-0.527987520440628,0.5247106224164834
v_0p90_t_0p90_lm_1p00,0.9,0.9,1.0,1.7258066380389097,2.1327656912285127,0.5400935402331668,0.5400935402331668,1,0.5400935402331668,0.5400935402331668
v_0p80_t_0p90_lm_0p90,0.8,0.9,0.9,-1.8795681441996963,1.8795681441996963,-0.5379369648007644,0.5379369648007623,160,-0.5379369648007644,0.5379369648007623
v_0p60_t_0p80_lm_0p80,0.6,0.8,0.8,-1.8224626454384938,1.8224626454384953,-0.5358653478026055,0.5358653478025964,160,-0.5358653478026055,0.5358653478025964
v_0p60_t_1p00_lm_0p60,0.6,1.0,0.6,-2.1961592622891826,-1.4871011058795378,-0.33541379658019527,-0.33541379658019527,1,-0.33541379658019527,-0.33541379658019527
v_0p50_t_0p90_lm_0p60,0.5,0.9,0.6,-2.051578159844487,1.3659749535228056,-0.45858324297108916,0.4707653954536903,160,-0.45858324297108916,0.4707653954536903
v_0p10_t_0p70_lm_0p50,0.1,0.7,0.5,-1.75867327260272,1.6555167305380711,-0.4386487190234652,0.43489576100862454,160,-0.4386487190234652,0.43489576100862454
v_0p40_t_1p00_lm_0p50,0.4,1.0,0.5,-2.068024463218502,-1.0579309851487593,-0.361426274165455,-0.361426274165455,1,-0.361426274165455,-0.361426274165455
v_0p50_t_0p60_lm_0p90,0.5,0.6,0.9,-1.3659749535228056,2.051578159844486,-0.47076539545369067,0.4585832429710876,160,-0.47076539545369067,0.4585832429710876
v_0p50_t_0p50_lm_1p00,0.5,0.5,1.0,1.7964040961823888,2.081154600829134,0.29305265667674035,0.29305265667674035,1,0.29305265667674035,0.29305265667674035
v_0p80_t_0p10_lm_0p10,0.8,0.1,0.1,-0.05755296549425264,0.057552965494252865,-0.05755296549425264,0.057552965494252865,128,-0.056172022278500995,0.05617202227850105
v_0p50_t_0p60_lm_0p10,0.5,0.6,0.1,-1.300482064355729,-0.12339579572971812,-0.2988637016987521,-0.12339579572971812,66,-0.2988637016987521,-0.12373344542956435
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,-0.35828557792270443,0.37219996321067816,-0.21729273983194694,0.21907903910159257,160,-0.21729273983194694,0.21907903910159257
v_0p50_t_0p10_lm_0p40,0.5,0.1,0.4,-0.04525323040414596,1.0178977724536624,-0.04525323040414596,0.21339740762757822,132,-0.038933957974504725,0.21339740762757822
v_0p40_t_0p50_lm_0p00,0.4,0.5,0.0,-1.1280822979484353,0.03209636647358797,-0.27506377379711155,0.03209636647358797,114,-0.27506377379711155,0.00953890210574452
v_1p00_t_0p00_lm_0p50,1.0,0.0,0.5,0.20867812698199742,1.4306928491260131,0.12772859329078787,0.12772859329078787,1,0.12772859329078787,0.12772859329078787
v_0p80_t_0p00_lm_0p50,0.8,0.0,0.5,0.17674302207370735,1.2640687058530815,0.17674302207370735,0.2109022350841516,26,0.18772925416183142,0.2109022350841516
v_0p10_t_0p40_lm_0p50,0.1,0.4,0.5,-1.3083024982280085,1.4461760664423693,-0.35683032406662485,0.3461409920359667,160,-0.35683032406662485,0.3461409920359667
v_0p40_t_0p20_lm_0p60,0.4,0.2,0.6,-0.24067116941954217,1.3745621129431278,-0.24067116941954217,0.26549536709219057,136,-0.23644873817708015,0.26549536709219057
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,-1.3498195736745462,1.0752387582987464,-0.29374622827451313,0.3033979093098541,160,-0.29374622827451313,0.3033979093098541
v_0p80_t_0p50_lm_0p00,0.8,0.5,0.0,-1.264068705853082,-0.17675760567378968,-0.21090223508414954,-0.17675760567378968,26,-0.21090223508414954,-0.1877292541618315
v_0p00_t_0p00_lm_0p50,0.0,0.0,0.5,-0.2993206323546268,0.2851254736151938,-0.2138782338895875,0.21387823388958682,160,-0.2138782338895875,0.21387823388958682
v_0p90_t_0p00_lm_0p30,0.9,0.0,0.3,0.08152763649225116,1.286873950768171,0.08152763649225116,0.10679031269280363,76,0.08195903606261486,0.10679031269280363
v_0p80_t_0p10_lm_0p90,0.8,0.1,0.9,0.40604481277413873,1.5567191208890045,0.06692853028861905,0.06692853028861905,1,0.06692853028861905,0.06692853028861905
v_0p30_t_0p20_lm_0p50,0.3,0.2,0.5,-0.3986469183553668,1.2802286733455457,-0.31052242654973455,0.31274551163918257,160,-0.31052242654973455,0.31274551163918257
v_0p90_t_0p60_lm_0p00,0.9,0.6,0.0,-1.3523965593863898,-0.2564343271815485,-0.11810726256813069,-0.11810726256813069,1,-0.11810726256813069,-0.11810726256813069
v_0p30_t_0p50_lm_1p00,0.3,0.5,1.0,-1.4834874393650395,2.0683043670459402,-0.3935189529258034,0.38275884087734546,160,-0.3935189529258034,0.38275884087734546
v_0p00_t_0p30_lm_0p50,0.0,0.3,0.5,-1.2169268632863013,1.216926863286301,-0.28678311334726825,0.2867831133472678,160,-0.28678311334726825,0.2867831133472678
v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,-1.2255860043689668,0.27428889064091044,-0.28212528278573934,0.27428889064091044,158,-0.28212528278573934,0.26848306904210034
v_0p20_t_0p50_lm_0p80,0.2,0.5,0.8,-1.5737107894096598,1.8591009785440074,-0.4345362301518644,0.42938594109444955,160,-0.4345362301518644,0.42938594109444955
v_0p00_t_0p50_lm_0p70,0.0,0.5,0.7,-1.7378894662069053,1.7378894662069064,-0.4442475412727983,0.4442475412727978,160,-0.4442475412727983,0.4442475412727978
v_0p70_t_1p00_lm_0p30,0.7,1.0,0.3,-1.8718862532618692,-0.33942743178242357,-0.13765305279103587,-0.13765305279103587,1,-0.13765305279103587,-0.13765305279103587
v_0p80_t_0p80_lm_0p00,0.8,0.8,0.0,-1.5507097694368022,-0.1385139300583712,-0.3570133562114541,-0.1385139300583712,65,-0.3570133562114541,-0.14549351410749378
v_0p50_t_0p00_lm_0p50,0.5,0.0,0.5,-0.1135420060186286,1.2640982707517023,-0.1135420060186286,0.27019861249173077,138,-0.08955238435336994,0.27019861249173077
v_0p50_t_0p10_lm_0p60,0.5,0.1,0.6,0.123395795729718,1.300482064355729,0.123395795729718,0.29886370169875115,66,0.12373344542956506,0.29886370169875115
v_0p90_t_0p00_lm_0p90,0.9,0.0,0.9,0.2452286486675419,1.6601823822717574,0.2452286486675419,0.43610034526704233,56,0.2643212152556891,0.43610034526704233
v_0p10_t_1p00_lm_0p50,0.1,1.0,0.5,-1.928970598489818,1.684682368153129,-0.3926950800364399,0.3937240153089567,160,-0.3926950800364399,0.3937240153089567
v_0p50_t_0p80_lm_0p70,0.5,0.8,0.7,-1.9033509475048145,1.6705479588332512,-0.5353174175864006,0.5328322679891383,160,-0.5353174175864006,0.5328322679891383
v_0p40_t_0p40_lm_0p20,0.4,0.4,0.2,-1.0551735684371382,0.3350225934383066,-0.27842380662691874,0.26819878792782315,160,-0.27842380662691874,0.26819878792782315
v_0p70_t_0p90_lm_0p80,0.7,0.9,0.8,-2.0009246232715694,1.711856518532292,-0.5387423731780248,0.5358639564447398,160,-0.5387423731780248,0.5358639564447398
v_0p20_t_0p10_lm_0p50,0.2,0.1,0.5,-0.35693069588250703,1.2514894139198192,-0.2500904931503083,0.2525736332508423,160,-0.2500904931503083,0.2525736332508423
v_0p00_t_0p10_lm_0p00,0.0,0.1,0.0,-0.01586699469236228,0.01655990170351783,-0.01586699469236228,0.01655990170351783,96,-0.01546475557089787,0.015464755570897899
v_0p10_t_0p10_lm_0p10,0.1,0.1,0.1,-0.93435422195588,0.9343542219558801,-0.14142135623731075,0.14142135623731025,160,-0.14142135623731075,0.14142135623731025
v_0p20_t_0p10_lm_0p00,0.2,0.1,0.0,-0.9128876190758708,0.007942865078295927,-0.1000000000000009,0.007942865078295927,112,-0.1000000000000009,0.007772814657260537
v_1p00_t_0p70_lm_0p60,1.0,0.7,0.6,-0.6964604219317155,0.27669689456727187,-0.568770924638456,0.27669689456727187,70,-0.568770924638456,0.2614572211945234
v_0p10_t_0p10_lm_0p20,0.1,0.1,0.2,-0.9227314802510853,1.017930642182557,-0.22360679777065012,0.22360679774998055,160,-0.22360679777065012,0.22360679774998055
v_0p10_t_0p00_lm_0p10,0.1,0.0,0.1,-0.020278278326275757,0.9602456108905926,-0.020278278326275757,0.10000000000000085,144,-0.020084317139810837,0.10000000000000085
v_0p20_t_1p00_lm_0p90,0.2,1.0,0.9,-2.4020823531410085,2.2727940995184914,-1.0181596906692003,1.0214977297145682,160,-1.0181596906692003,1.0214977297145682
v_0p80_t_0p60_lm_0p50,0.8,0.6,0.5,-1.0275916214526568,0.3980857111732513,-0.5816577701173669,0.3980857111732513,86,-0.5816577701173669,0.3977446151830923
v_0p00_t_0p10_lm_0p20,0.0,0.1,0.2,-1.0366262123465404,1.0366262123465393,-0.22360679775004152,0.22360679775004202,160,-0.22360679775004152,0.22360679775004202
v_0p00_t_0p90_lm_0p90,0.0,0.9,0.9,-2.317548141941278,2.3175481419412782,-0.9679652292805412,0.96796522928054,160,-0.9679652292805412,0.96796522928054
v_0p30_t_1p00_lm_1p00,0.3,1.0,1.0,-2.3660686303576735,2.3660686303576726,-1.0282939828726336,1.0282939828726203,160,-1.0282939828726336,1.0282939828726203
v_0p80_t_0p50_lm_0p60,0.8,0.5,0.6,-0.3980857111732509,1.027591621452656,-0.3980857111732509,0.5816577701173641,86,-0.3977446151830929,0.5816577701173641
v_0p90_t_0p60_lm_0p60,0.9,0.6,0.6,-0.5605671048959985,0.5605671048959984,-0.5605671048959985,0.5605671048959984,92,-0.550447263340779,0.5504472633407747
v_1p00_t_0p60_lm_0p70,1.0,0.6,0.7,-0.27669689456727165,0.696460421931715,-0.27669689456727165,0.5687709246384588,70,-0.2614572211945231,0.5687709246384588
v_0p10_t_0p00_lm_0p20,0.1,0.0,0.2,-0.05751843579062544,0.06764546685983362,-0.05751843579062544,0.06764546685983362,104,-0.047608781903131885,0.06564669412830149
v_0p10_t_0p90_lm_0p80,0.1,0.9,0.8,-2.2102041043573863,2.1753743499066984,-0.8686915984272249,0.8621565944079356,160,-0.8686915984272249,0.8621565944079356
v_0p00_t_1p00_lm_1p00,0.0,1.0,1.0,-2.496871242421958,2.4968712424219586,-1.1547352037865837,1.1547352037865841,160,-1.1547352037865837,1.1547352037865841
v_0p00_t_0p90_lm_1p00,0.0,0.9,1.0,-2.40042524501824,2.400425245018241,-1.0644797692615107,1.0644797692615142,160,-1.0644797692615107,1.0644797692615142
v_0p00_t_1p00_lm_0p90,0.0,1.0,0.9,-2.4004252450182406,2.400425245018241,-1.0644797692615098,1.0644797692615058,160,-1.0644797692615098,1.0644797692615058
v_0p10_t_1p00_lm_0p90,0.1,1.0,0.9,-2.3954120295100814,2.348594805038111,-1.0469077170584675,1.050760205809791,160,-1.0469077170584675,1.050760205809791
v_0p10_t_0p90_lm_1p00,0.1,0.9,1.0,-2.3485948050381094,2.3954120295100836,-1.0507602058097956,1.0469077170584653,160,-1.0507602058097956,1.0469077170584653
v_0p20_t_0p90_lm_1p00,0.2,0.9,1.0,-2.272794099518491,2.402082353141009,-1.0214977297145698,1.0181596906691994,160,-1.0214977297145698,1.0181596906691994
v_0p90_t_0p70_lm_0p50,0.9,0.7,0.5,-1.208196146143688,0.09645421503356601,-0.48442174192271026,0.09645421503356601,52,-0.48442174192271026,0.08651959888701304
v_0p10_t_0p90_lm_0p90,0.1,0.9,0.9,-2.3082434842576958,2.3082434842576953,-0.9763880238643158,0.9763880238643161,160,-0.9763880238643158,0.9763880238643161
