point_id,v,t,lm,category,gap,Z2,Chern,Wilson,old_selected_mode,old_energy,old_edge_weight,old_corner_weight,best_edge_energy,best_edge_weight,best_corner_energy,best_corner_weight,rotated_edge_weight,rotated_corner_weight,whether_selection_changed,recommended_physical_role,edge_gain_vs_old,corner_gain_vs_old,best_method
v_0p60_t_0p90_lm_0p80,0.6,0.9,0.8,robust_topological,0.2,1,9.16608159e-17,2.62592707,64,0.03828636867545578,0.13900547047326614,0.014690704032066022,0.21848024482012315,0.5117059310808418,0.2450273084975213,0.21074707117261782,0.5696265649955002,0.2534653479895864,1,edge_dominated,0.37270046060757567,0.1960563671405518,best_edge_state
v_0p60_t_0p80_lm_0p70,0.6,0.8,0.7,robust_topological,0.2,1,-3.19715255e-16,0.66100459,66,0.022273882093551033,0.7034315657125458,0.15419991891389503,-0.2210498173675578,0.704842770618026,0.1713162441432248,0.2584086236269573,0.7034315657125456,0.2505116234549405,1,edge_dominated,0.00141120490548019,0.10420870471306229,best_edge_state
v_1p00_t_0p90_lm_1p00,1.0,0.9,1.0,robust_topological,0.2,1,-5.71085832e-20,0.8228249,126,0.02194697596545543,0.6605884581387468,0.1248268371855886,0.22254173241746766,0.7018357690863766,-0.17240282035616672,0.24920213475963515,0.6605884581387466,0.2450458925718738,1,edge_dominated,0.04124731094762979,0.12437529757404656,best_edge_state
v_0p50_t_0p80_lm_0p60,0.5,0.8,0.6,robust_topological,0.2,1,-1.30603171e-16,-0.53765345,43,-0.007824544885849659,0.4841475553499146,0.18081451918502514,-0.07744155077065623,0.7036050590186396,0.07274014870691714,0.2612778933164771,0.547260852897528,0.17870111568008945,1,edge_dominated,0.21945750366872496,0.08046337413145196,best_edge_state
v_0p30_t_0p60_lm_0p80,0.3,0.6,0.8,robust_topological,0.2,1,2.26311951e-16,0.57453538,136,0.010995188028444966,0.18568173988062825,0.029628964303137762,-0.16774600672038475,0.5597400090888361,-0.24561237780062384,0.25492821047696945,0.42957910678895805,0.2549282104769693,1,bulk_mixed,0.3740582692082079,0.22529924617383168,best_edge_state
v_0p90_t_1p00_lm_1p00,0.9,1.0,1.0,robust_topological,0.2,1,1.8799003e-16,-0.60504115,95,-0.1383948490127636,0.1390569111862795,0.014815390237866257,0.2222155916997948,0.34604029017804594,0.22221559169979516,0.08856900005863554,0.5722379568861335,0.25273031683392666,1,edge_dominated,0.20698337899176644,0.07375360982076928,best_edge_state
v_0p70_t_1p00_lm_0p60,0.7,1.0,0.6,robust_topological,0.2,1,2.66486948e-16,0.95869244,45,-0.0012708500128926846,0.3651473277934638,0.11200786636881442,-0.07968836123885663,0.5688795931057081,-0.12384855584701368,0.257155296641434,0.5688795931057081,0.257155296641434,1,edge_dominated,0.2037322653122443,0.14514743027261956,best_edge_state
v_0p60_t_0p70_lm_0p80,0.6,0.7,0.8,robust_topological,0.2,1,-1.08561236e-16,-2.59344268,125,-0.022273882093551096,0.7034315657125456,0.154199918913895,0.2210498173675564,0.7048427706180261,-0.17131624414322014,0.258408623626957,0.6605192398374283,0.25051162345494077,1,edge_dominated,0.0014112049054805231,0.10420870471306198,best_edge_state
v_0p60_t_1p00_lm_0p50,0.6,1.0,0.5,robust_topological,0.2,1,-3.30170823e-16,0.51124587,58,6.922540049150213e-05,0.3635780539299772,0.14201994174315796,-0.17711092057196248,0.5873284862427012,-0.22178562523582612,0.26098947587315957,0.5873284862427012,0.26098947587315957,1,edge_dominated,0.22375043231272396,0.11896953413000161,best_edge_state
v_0p30_t_0p50_lm_0p70,0.3,0.5,0.7,robust_topological,0.2,1,-4.74876457e-16,-1.00457045,126,0.007939565771734039,0.5189860617321251,0.18863161247183893,0.07806289178601163,0.7051716329722783,-0.07182048088257809,0.2669927264770274,0.709826304597252,0.2696982444603766,1,edge_dominated,0.1861855712401531,0.07836111400518844,best_edge_state
v_0p50_t_0p90_lm_0p50,0.5,0.9,0.5,robust_topological,0.2,1,1.04814375e-16,0.57949192,44,0.0029390245566942616,0.36737664490778077,0.11809214093019328,-0.07916416140161195,0.5982661869322755,-0.12333912722320535,0.26264802205487753,0.6589956169956646,0.16771117725867135,1,edge_dominated,0.23088954202449474,0.14455588112468426,best_edge_state
v_0p70_t_0p80_lm_0p80,0.7,0.8,0.8,robust_topological,0.2,1,-3.09293304e-18,0.78479815,96,0.02840246431070667,0.6073098010738237,0.1039810360569948,0.12206367639876153,0.7032939029553432,0.22697772773329264,0.20889737767669422,0.5562753652936931,0.2491759131125055,1,edge_dominated,0.09598410188151951,0.10491634161969943,best_edge_state
v_0p80_t_0p90_lm_0p80,0.8,0.9,0.8,robust_topological,0.2,1,-1.27000032e-16,0.55343514,65,-0.022118157298944344,0.6605806352300527,0.12379542168548535,-0.22190183092127952,0.7031818650669541,0.17200245369841846,0.25339934610881176,0.5537782070845896,0.2478012099868159,1,edge_dominated,0.0426012298369014,0.1296039244233264,best_edge_state
v_0p50_t_0p90_lm_0p70,0.5,0.9,0.7,robust_topological,0.2,1,2.00403261e-16,0.82490288,45,-0.010856544754286787,0.18655815366203132,0.0298662625997996,0.17035319258446685,0.5570977720696663,0.2476685129325103,0.2542973707190706,0.5570977720696664,0.2542973707190706,1,edge_dominated,0.37053961840763494,0.224431108119271,best_edge_state
v_0p50_t_0p60_lm_0p90,0.5,0.6,0.9,near_transition,0.0,1,7.06789929e-17,-1.09324045,153,-0.0013876829376604036,0.3958964882442224,0.23055240517847048,0.03669925497357169,0.5930912745721864,-0.10102879816473583,0.24319065034384113,0.5930912745721862,0.2431906503438411,1,edge_dominated,0.19719478632796394,0.012638245165370654,best_edge_state
v_0p70_t_0p70_lm_1p00,0.7,0.7,1.0,near_transition,0.0,0,5.30092447e-16,-0.25433305,155,-0.0009701180171764372,0.38559572673061304,0.22729345303065634,0.035781094658206475,0.5907128504646195,-0.10124868217256454,0.24291172543990497,0.5907128504646195,0.24291172543990497,1,edge_dominated,0.20511712373400648,0.015618272409248624,best_edge_state
v_0p50_t_0p20_lm_0p30,0.5,0.2,0.3,near_transition,2.77555756e-17,1,-1.10607802e-16,0.5520327,69,-0.0015333721069185503,0.988561153730438,0.2865071390945788,0.024008137960343984,0.9888687276695363,0.15438650541149726,0.3431875204213772,0.9863968337330273,0.2840345206436547,1,edge_dominated,0.00030757393909830455,0.05668038132679837,best_edge_state
v_0p50_t_0p50_lm_1p00,0.5,0.5,1.0,near_transition,5.55111512e-17,1,2.12036979e-16,-1.05834024,132,0.006364366575033962,0.3763181904334266,0.19030736663547793,0.23428317240889326,0.5943556352487204,0.0925665356653353,0.24370912529828115,0.5943556352487204,0.24370912529828115,1,edge_dominated,0.21803744481529375,0.05340175866280322,best_edge_state
v_0p50_t_1p00_lm_0p50,0.5,1.0,0.5,near_transition,-5.55111512e-17,1,3.53394965e-16,-0.60472926,59,-0.006364366575033962,0.37631819043342674,0.190307366635478,-0.23428317240889246,0.5943556352487205,-0.09256653566533735,0.24370912529828123,0.5943556352487205,0.24370912529828123,1,edge_dominated,0.21803744481529375,0.05340175866280322,best_edge_state
v_0p70_t_0p10_lm_0p20,0.7,0.1,0.2,near_transition,5.55111512e-17,0,-5.13366447e-17,-0.04885825,63,-0.000820544507257399,0.8104676162547094,0.2595632312810025,0.22359016682549276,0.9846629310439123,0.22360634158912596,0.9148828145521198,0.8412094650484188,0.9142228796785026,1,corner_dominated,0.17419531478920292,0.6553195832711174,best_edge_state
v_0p70_t_1p00_lm_0p70,0.7,1.0,0.7,near_transition,-5.55111512e-17,1,4.24073958e-16,-0.53688374,36,0.0009701180171764425,0.3855957267306131,0.22729345303065643,-0.03578109465820635,0.5907128504646195,0.10124868217256464,0.24291172543990486,0.5907128504646195,0.24291172543990486,1,edge_dominated,0.20511712373400642,0.01561827240924843,best_edge_state
v_0p60_t_0p80_lm_0p80,0.6,0.8,0.8,near_transition,-6.22088784e-17,0,-1.0,0.45801967,96,0.06428607055067839,0.28340303684329715,0.03660567608352567,-0.21048617361831895,0.5740277822799935,-0.24105954087371767,0.13832452776181026,0.421356184495152,0.24227385734665574,1,bulk_mixed,0.29062474543669636,0.1017188516782846,best_edge_state
v_0p50_t_0p70_lm_0p80,0.5,0.7,0.8,near_transition,6.9388939e-17,0,-1.94367231e-16,0.48229924,125,-0.01638048214103304,0.4220006334058279,0.0658839198836896,-0.16067356699588112,0.592418935483365,-0.2432168411633067,0.23537848089302865,0.592418935483365,0.2288485253765683,1,edge_dominated,0.1704183020775371,0.16949456100933905,best_edge_state
v_0p90_t_1p00_lm_0p90,0.9,1.0,0.9,near_transition,-6.9388939e-17,0,-2.82715972e-16,-0.24985597,64,0.016774987823014852,0.42015639286444306,0.06655785291677295,0.16336727888623354,0.5881798954316932,0.2446363345553187,0.22774560922961076,0.5881798954316932,0.22774560922961076,1,edge_dominated,0.16802350256725018,0.16118775631283783,best_edge_state
v_0p30_t_0p30_lm_0p40,0.3,0.3,0.4,near_transition,8.32667268e-17,1,-2.64611165e-16,0.98450202,72,-0.0006887942422294308,0.9991261227502031,0.2666308559059495,-0.09770840083854042,0.9997732147988325,-0.21691558570738484,0.2844786264041678,0.996240856243679,0.3730224445167691,1,corner_dominated,0.0006470920486294496,0.01784777049821834,best_edge_state
v_0p40_t_0p60_lm_0p80,0.4,0.6,0.8,near_transition,8.32667268e-17,0,-7.06789929e-17,0.00813441,144,-0.004122384777399446,0.2772824409207688,0.10053766733030674,-0.06132378026082353,0.5939305182274577,-0.19730664938892656,0.2427883218781425,0.578157883635322,0.2427883218781425,1,edge_dominated,0.31664807730668887,0.14225065454783575,best_edge_state
v_0p50_t_0p80_lm_0p70,0.5,0.8,0.7,near_transition,-9.71445147e-17,0,2.29706727e-16,-0.23214187,66,0.01638048214103303,0.42200063340582783,0.06588391988368958,0.16067356699588298,0.5924189354833651,0.24321684116331144,0.23537848089302896,0.5924189354833649,0.2353784808930293,1,edge_dominated,0.17041830207753728,0.16949456100933938,best_edge_state
v_0p20_t_0p60_lm_0p60,0.2,0.6,0.6,near_transition,-1.05016274e-16,1,1.59027734e-16,0.79994871,96,0.06422937175335126,0.28406765996061784,0.03571396290237996,-0.20708035667316807,0.58256692483616,-0.24046938046350527,0.14469839140114338,0.5958303422736098,0.2469566378434627,1,edge_dominated,0.2984992648755422,0.10898442849876341,best_edge_state
v_0p30_t_0p10_lm_0p50,0.3,0.1,0.5,near_transition,-1.11022302e-16,0,1.64318017e-16,-0.23749031,62,0.009945250965249028,0.9790941704601208,0.2826967825534867,0.23119687367796857,0.9992466514123268,-0.024849540499244663,0.31947641236537344,0.9919997535295142,0.28941017426130283,1,edge_dominated,0.02015248095220601,0.03677962981188676,best_edge_state
v_0p40_t_0p20_lm_0p40,0.4,0.2,0.4,near_transition,1.11022302e-16,0,2.40644939e-16,-0.25623933,54,0.003543906074773915,0.637106508810084,0.11908361922212655,-0.12800083866561196,0.9968642017388714,0.24048805286507782,0.3620560552741117,0.9726922297427991,0.280938295869314,1,edge_dominated,0.35975769292878734,0.24297243605198515,best_edge_state
v_0p40_t_0p40_lm_0p20,0.4,0.4,0.2,near_transition,1.11022302e-16,0,1.26113118e-16,0.35447732,137,-0.003543906074773914,0.637106508810084,0.11908361922212651,0.128000838665612,0.9968642017388714,-0.24048805286507716,0.36205605527411183,0.6371065088100839,0.36205605527411083,1,corner_dominated,0.35975769292878734,0.24297243605198532,best_edge_state
v_0p50_t_0p40_lm_0p10,0.5,0.4,0.1,near_transition,1.11022302e-16,1,1.33826466e-16,-0.75572674,141,-0.006074236977378173,0.32278026272036636,0.01411355433607667,-0.1951392998512242,0.9876403274863756,-0.18508807191664006,0.34334776541095935,0.986971200543697,0.3186515867402948,1,edge_dominated,0.6648600647660092,0.32923421107488265,best_edge_state
v_0p60_t_0p10_lm_0p30,0.6,0.1,0.3,near_transition,1.11022302e-16,1,-1.94866298e-16,-1.03246283,50,0.0015594974359000313,0.9349841030324156,0.28684198468736144,0.0975741770725198,0.9485288065492339,0.11708569264876899,0.3503998321193479,0.9994013302602827,0.9923600384872936,1,corner_dominated,0.013544703516818246,0.06355784743198645,best_edge_state
v_0p60_t_0p20_lm_0p20,0.6,0.2,0.2,near_transition,1.16707185e-16,0,1.09744905e-18,-0.37330678,95,-0.002368518105547183,0.9486016948655505,0.27980599108876497,-0.007042962762028994,0.9488686777358725,-0.06754751833191168,0.28725728305471465,0.9487425635720448,0.8379289292617895,1,corner_dominated,0.00026698287032200785,0.00745129196594968,best_edge_state
